student_id,level,attendance_rate,num_quizzes,quiz_avg,assignment_avg,mid_sem_score,forum_participation,study_time_hours,dashboard_time_hours,current_gpa,predicted_gpa,target_gpa,final_gpa,risk_category,recommended_action
S00001,200,76.96,3,54.25,76.63,63.05,3,16.93,14.44,3.17,2.13,2.19,2.19,Average,"Maintain steady progress, focus on weak areas"
S00002,400,90.86,7,64.27,62.99,49.22,5,8.63,9.54,2.91,2.26,2.47,2.18,Average,"Maintain steady progress, focus on weak areas"
S00003,300,98.06,5,59.85,74.18,55.22,4,6.43,15.79,2.52,2.65,2.77,2.64,Average,"Maintain steady progress, focus on weak areas"
S00004,300,72.73,3,91.02,57.9,76.99,0,28.38,9.0,3.08,2.44,2.42,2.37,Average,"Maintain steady progress, focus on weak areas"
S00005,100,100.0,7,65.45,76.74,77.0,6,6.66,3.61,3.43,2.67,2.95,2.73,Average,"Maintain steady progress, focus on weak areas"
S00006,100,83.71,11,57.35,57.89,91.75,7,14.55,14.36,3.09,2.21,2.57,2.32,Average,"Maintain steady progress, focus on weak areas"
S00007,100,75.25,10,100.0,54.09,79.92,6,22.72,6.32,3.22,2.68,2.5,2.49,Average,"Maintain steady progress, focus on weak areas"
S00008,400,92.58,10,96.92,57.58,76.35,3,7.77,15.78,3.14,2.67,2.85,2.56,Average,"Maintain steady progress, focus on weak areas"
S00009,300,80.54,9,82.55,80.47,61.58,7,5.28,3.82,3.69,2.23,2.32,2.41,Average,"Maintain steady progress, focus on weak areas"
S00010,300,84.18,14,78.43,63.37,87.75,4,25.07,11.79,3.65,2.48,2.6,2.64,Average,"Maintain steady progress, focus on weak areas"
S00011,100,80.96,16,57.02,73.46,100.0,4,15.77,12.9,2.93,2.86,3.14,2.7,Average,"Maintain steady progress, focus on weak areas"
S00012,400,76.83,14,86.31,67.34,65.23,2,16.32,9.92,2.26,2.05,1.93,2.02,Average,"Maintain steady progress, focus on weak areas"
S00013,400,92.24,11,75.47,80.13,58.94,7,15.63,10.79,3.42,2.06,2.25,2.11,Average,"Maintain steady progress, focus on weak areas"
S00014,100,82.14,9,60.45,53.83,59.89,4,10.82,6.46,2.55,2.04,2.21,2.44,Average,"Maintain steady progress, focus on weak areas"
S00015,100,70.63,10,72.11,74.37,94.7,5,23.21,15.27,1.78,2.41,2.31,2.65,Average,"Maintain steady progress, focus on weak areas"
S00016,100,90.51,16,63.04,70.07,81.37,6,17.05,8.61,2.92,2.41,2.42,2.35,Average,"Maintain steady progress, focus on weak areas"
S00017,200,72.94,14,47.16,83.82,71.27,6,13.49,8.53,3.63,2.15,2.21,2.12,Average,"Maintain steady progress, focus on weak areas"
S00018,300,73.47,12,90.48,82.28,78.53,2,5.36,22.7,2.65,2.48,2.94,2.2,Average,"Maintain steady progress, focus on weak areas"
S00019,200,96.93,10,42.79,49.29,45.91,6,15.56,3.66,3.12,1.74,1.98,1.62,At Risk,Meet academic advisor and review study plan
S00020,200,73.04,8,100.0,89.09,95.77,10,18.56,5.72,2.94,2.64,2.56,2.7,Average,"Maintain steady progress, focus on weak areas"
S00021,300,61.84,11,66.79,87.4,80.56,5,10.2,11.53,2.06,2.78,2.86,2.64,Average,"Maintain steady progress, focus on weak areas"
S00022,100,91.23,11,76.78,80.51,82.72,6,0.0,5.27,3.02,3.0,3.12,2.79,Average,"Maintain steady progress, focus on weak areas"
S00023,200,81.96,12,78.01,58.3,63.25,4,12.43,3.51,3.73,2.21,2.25,2.17,Average,"Maintain steady progress, focus on weak areas"
S00024,200,82.82,9,55.15,81.13,51.92,8,28.32,1.67,3.29,2.45,2.68,2.48,Average,"Maintain steady progress, focus on weak areas"
S00025,200,81.85,10,66.84,83.4,73.01,4,13.94,0.0,2.64,2.27,2.22,2.27,Average,"Maintain steady progress, focus on weak areas"
S00026,400,87.32,13,68.48,71.18,77.89,6,14.01,12.04,2.78,1.94,1.7,2.24,Average,"Maintain steady progress, focus on weak areas"
